dataset;relative;absolute;naive_occurrences;deletion_occurrences;projection_occurrences;naive_size;deletion_size;projection_size;num;abs;perfect;reject_naive;reject_deletion;reject_projection;deletion_rate;projection_rate;naive_auc;deletion_auc;projection_auc
iris.bin;0.3;45;4800;4800;1378;750;750;383;iris.num;45;1378;0.712916667;0.712916667;0;1;0.510666667;0.041197917;0.021275955;0
iris.bin;0.25;38;4800;4800;1784;750;750;586;iris.num;37;2117;0.558958333;0.558958333;0;1;0.781333333;0.031796875;0.031796875;0
iris.bin;0.2;30;4800;4800;2501;750;750;895;iris.num;30;2443;0.491041667;0.491041667;0.023190724;1;1.193333333;0.02625;0.02625;0.000579768
iris.bin;0.15;23;4800;4800;3025;750;750;1002;iris.num;22;2922;0.39125;0.39125;0.034049587;1;1.336;0.022057292;0.022057292;0.001431008
iris.bin;0.1;15;4800;4800;3703;750;750;1216;iris.num;15;3450;0.28125;0.28125;0.068322981;1;1.621333333;0.0168125;0.0168125;0.002559314
iris.bin;0.05;8;4800;4800;4570;750;750;1442;iris.num;7;4418;0.079583333;0.079583333;0.033260394;1;1.922666667;0.011010417;0.011010417;0.003371094
mushroom.bin;1;8124;6.81E+10;16248;16248;186852;8124;0;mushroom.num;8124;16248;0.999999762;0;0;0.043478261;0;0;0;0
mushroom.bin;0.95;7718;6.81E+10;63736;63736;186852;23962;23744;mushroom.num;7717;63736;0.999999065;0;0;0.128240533;0.127073834;0.049999971;0;0
mushroom.bin;0.90000004;7312;6.81E+10;122456;78712;186852;31450;31232;mushroom.num;7311;78712;0.999998845;0.357222186;0;0.16831503;0.167148331;0.049999948;0.008930555;0
mushroom.bin;0.85;6906;6.81E+10;122456;122456;186852;31450;45816;mushroom.num;6905;122456;0.999998203;0;0;0.16831503;0.245199409;0.049999926;0.008930555;0
mushroom.bin;0.8;6500;6.81E+10;226288;175728;186852;38262;65850;mushroom.num;6499;175728;0.999997421;0.223432087;0;0.204771691;0.352417956;0.049999891;0.005585802;0
mushroom.bin;0.75;6093;6.81E+10;226288;226288;186852;38262;72314;mushroom.num;6093;226288;0.99999668;0;0;0.204771691;0.387012181;0.049999853;0.005585802;0
mushroom.bin;0.7;5687;6.81E+10;226288;226288;186852;38262;72314;mushroom.num;5686;226288;0.99999668;0;0;0.204771691;0.387012181;0.049999834;0;0
mushroom.bin;0.65000004;5281;6.81E+10;376352;269960;186852;43874;88748;mushroom.num;5280;269960;0.999996039;0.282692798;0;0.234806157;0.474964143;0.049999818;0.00706732;0
mushroom.bin;0.6;4875;6.81E+10;1040096;358744;186852;53986;113804;mushroom.num;4874;330040;0.999995157;0.682683137;0.080012488;0.288923854;0.609059577;0.04999978;0.024134398;0.002000312
